date,code,label,close,source,fetched_at
1997-03-31,0001,KOSPI,677.34,kis_api,2026-08-17T02:03:27+00:00
1997-03-31,000660,SK하이닉스,369138.0,kis_api,2026-08-17T02:03:21+00:00
1997-04-30,0001,KOSPI,703.23,kis_api,2026-08-17T02:03:27+00:00
1997-04-30,000660,SK하이닉스,324476.0,kis_api,2026-08-17T02:03:21+00:00
1997-05-31,0001,KOSPI,756.77,kis_api,2026-08-17T02:03:27+00:00
1997-05-31,000660,SK하이닉스,395570.0,kis_api,2026-08-17T02:03:21+00:00
1997-06-30,0001,KOSPI,745.4,kis_api,2026-08-17T02:03:27+00:00
1997-06-30,000660,SK하이닉스,414710.0,kis_api,2026-08-17T02:03:21+00:00
1997-07-31,0001,KOSPI,726.12,kis_api,2026-08-17T02:03:27+00:00
1997-07-31,000660,SK하이닉스,420179.0,kis_api,2026-08-17T02:03:21+00:00
1997-08-30,0001,KOSPI,695.37,kis_api,2026-08-17T02:03:27+00:00
1997-08-30,000660,SK하이닉스,301690.0,kis_api,2026-08-17T02:03:21+00:00
1997-09-30,0001,KOSPI,647.11,kis_api,2026-08-17T02:03:27+00:00
1997-09-30,000660,SK하이닉스,274347.0,kis_api,2026-08-17T02:03:21+00:00
1997-10-31,0001,KOSPI,470.79,kis_api,2026-08-17T02:03:27+00:00
1997-10-31,000660,SK하이닉스,182290.0,kis_api,2026-08-17T02:03:21+00:00
1997-11-29,0001,KOSPI,407.86,kis_api,2026-08-17T02:03:27+00:00
1997-11-29,000660,SK하이닉스,191404.0,kis_api,2026-08-17T02:03:21+00:00
1997-12-27,0001,KOSPI,376.31,kis_api,2026-08-17T02:03:27+00:00
1997-12-27,000660,SK하이닉스,195962.0,kis_api,2026-08-17T02:03:21+00:00
1998-01-31,0001,KOSPI,567.38,kis_api,2026-08-17T02:03:27+00:00
1998-01-31,000660,SK하이닉스,274347.0,kis_api,2026-08-17T02:03:21+00:00
1998-02-28,0001,KOSPI,558.98,kis_api,2026-08-17T02:03:27+00:00
1998-02-28,000660,SK하이닉스,255206.0,kis_api,2026-08-17T02:03:21+00:00
1998-03-31,0001,KOSPI,481.04,kis_api,2026-08-17T02:03:27+00:00
1998-03-31,000660,SK하이닉스,191404.0,kis_api,2026-08-17T02:03:21+00:00
1998-04-30,0001,KOSPI,421.22,kis_api,2026-08-17T02:03:27+00:00
1998-04-30,000660,SK하이닉스,178644.0,kis_api,2026-08-17T02:03:21+00:00
1998-05-30,0001,KOSPI,332.03,kis_api,2026-08-17T02:03:27+00:00
1998-05-30,000660,SK하이닉스,167707.0,kis_api,2026-08-17T02:03:21+00:00
1998-06-30,0001,KOSPI,297.88,kis_api,2026-08-17T02:03:27+00:00
1998-06-30,000660,SK하이닉스,284373.0,kis_api,2026-08-17T02:03:21+00:00
1998-07-31,0001,KOSPI,343.33,kis_api,2026-08-17T02:03:27+00:00
1998-07-31,000660,SK하이닉스,259763.0,kis_api,2026-08-17T02:03:21+00:00
1998-08-31,0001,KOSPI,310.16,kis_api,2026-08-17T02:03:27+00:00
1998-08-31,000660,SK하이닉스,273435.0,kis_api,2026-08-17T02:03:21+00:00
1998-09-30,0001,KOSPI,310.32,kis_api,2026-08-17T02:03:27+00:00
1998-09-30,000660,SK하이닉스,244269.0,kis_api,2026-08-17T02:03:21+00:00
1998-10-31,0001,KOSPI,403.44,kis_api,2026-08-17T02:03:27+00:00
1998-10-31,000660,SK하이닉스,235154.0,kis_api,2026-08-17T02:03:21+00:00
1998-11-30,0001,KOSPI,451.88,kis_api,2026-08-17T02:03:27+00:00
1998-11-30,000660,SK하이닉스,223487.0,kis_api,2026-08-17T02:03:21+00:00
1998-12-28,0001,KOSPI,562.46,kis_api,2026-08-17T02:03:27+00:00
1998-12-28,000660,SK하이닉스,305666.0,kis_api,2026-08-17T02:03:21+00:00
1999-01-29,0001,KOSPI,571.43,kis_api,2026-08-17T02:03:27+00:00
1999-01-29,000660,SK하이닉스,244533.0,kis_api,2026-08-17T02:03:21+00:00
1999-02-26,0001,KOSPI,520.06,kis_api,2026-08-17T02:03:27+00:00
1999-02-26,000660,SK하이닉스,228498.0,kis_api,2026-08-17T02:03:21+00:00
1999-03-31,0001,KOSPI,618.98,kis_api,2026-08-17T02:03:27+00:00
1999-03-31,000660,SK하이닉스,237517.0,kis_api,2026-08-17T02:03:21+00:00
